year,parcel_name,parcel_id,percent_area,category,date,amount,units,dry
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-04-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2019,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2019-02-01,0.06,kg/m² - dry,TRUE
2019,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2019-09-01,0.06,kg/m² - dry,TRUE
2019,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.06,kg/m² - dry,TRUE
2019,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2019-02-01,0.06,kg/m² - dry,TRUE
2019,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2019-09-01,0.06,kg/m² - dry,TRUE
2019,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.06,kg/m² - dry,TRUE
2019,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2019,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2019,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2019,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2019-02-01,0.06,kg/m² - dry,TRUE
2019,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2019-09-01,0.06,kg/m² - dry,TRUE
2019,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2019-04-01,0.06,kg/m² - dry,TRUE
2019,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2020,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2020-02-01,0.06,kg/m² - dry,TRUE
2020,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2020-09-01,0.06,kg/m² - dry,TRUE
2020,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.06,kg/m² - dry,TRUE
2020,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2020-02-01,0.06,kg/m² - dry,TRUE
2020,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2020-09-01,0.06,kg/m² - dry,TRUE
2020,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.06,kg/m² - dry,TRUE
2020,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2020,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2020,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2020,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2020,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2020-02-01,0.06,kg/m² - dry,TRUE
2020,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2020-09-01,0.06,kg/m² - dry,TRUE
2020,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2020-04-01,0.06,kg/m² - dry,TRUE
2020,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2021,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2021-02-01,0.123,kg/m² - dry,TRUE
2021,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2021-09-01,0.134,kg/m² - dry,TRUE
2021,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.123,kg/m² - dry,TRUE
2021,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2021-02-01,0.123,kg/m² - dry,TRUE
2021,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2021-09-01,0.123,kg/m² - dry,TRUE
2021,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.123,kg/m² - dry,TRUE
2021,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2021,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2021,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2021,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2021,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2021-02-01,0.123,kg/m² - dry,TRUE
2021,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2021-09-01,0.123,kg/m² - dry,TRUE
2021,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,NA,0.123,kg/m² - dry,TRUE
2021,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2022,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2022-02-01,0.148,kg/m² - dry,TRUE
2022,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2022-09-01,0.148,kg/m² - dry,TRUE
2022,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.148,kg/m² - dry,TRUE
2022,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2022-02-01,0.148,kg/m² - dry,TRUE
2022,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2022-09-01,0.148,kg/m² - dry,TRUE
2022,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.148,kg/m² - dry,TRUE
2022,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2022,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2022,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2022,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2022,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2022-02-01,0.148,kg/m² - dry,TRUE
2022,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2022-09-01,0.148,kg/m² - dry,TRUE
2022,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,NA,0.148,kg/m² - dry,TRUE
2022,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2023,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2023-04-01,0.174,kg/m² - dry,TRUE
2023,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2023-04-01,0.174,kg/m² - dry,TRUE
2023,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2023,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2023,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2023,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2023,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2023-04-01,0.174,kg/m² - dry,TRUE
2023,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,NA,0.174,kg/m² - dry,TRUE
2023,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
